patent,patent_1,sim_1,patent_2,sim_2,patent_3,sim_3,patent_4,sim_4,patent_5,sim_5,patent_6,sim_6,patent_7,sim_7,patent_8,sim_8,patent_9,sim_9,patent_10,sim_10
4352883,4495288,0.9016484269169459,4673566,0.8753172415610864,5084350,0.8641639661354624,4689293,0.863637129470921,4806355,0.8628511439849946,5800829,0.8562689045152648,5834001,0.8562328461862538,5871767,0.856215128589613,5874099,0.856201037948303,5800828,0.8561589829017813
4762129,5490837,0.886299802186676,5980484,0.8859083434288072,5718683,0.8859033768867822,5833706,0.8844254884399545,5330499,0.8839059694975815,5645533,0.8792935006136048,5395332,0.8767625126289932,5921958,0.8767165696525029,5571087,0.8767135537855804,5368567,0.87185234559137
4399209,4562137,0.92470849852695,5053309,0.9240377762775998,4842976,0.9236834558392399,4508807,0.8980259179311054,4578339,0.8950427944467655,4482624,0.8930390133714938,4608330,0.8927044557524458,4535050,0.8917862800963836,4622282,0.8883089925292145,4865943,0.8772693424480823
3916899,4135514,0.9795297200353282,4036227,0.9794320286211434,4096238,0.979328819517346,4093708,0.9793203201916278,4142526,0.9792120165497108,4484921,0.9265788403541344,4439195,0.9261192698708774,5021053,0.9243577592392275,5053032,0.9243425718842032,5869096,0.9228112543462408
3219666,4952328,0.9083178384055115,4981602,0.907119367785148,4941984,0.9018704795231952,5354484,0.8991643916527071,5334329,0.8988676543924145,4957649,0.8954241763826241,4904401,0.8939844714747414,5614480,0.8930908119090407,4938881,0.8928544709047989,5562864,0.8928466275498974
4179337,5438040,0.786755970089636,5359030,0.7865752289112088,5681811,0.7850827273885586,5919455,0.7561598169624253,5334382,0.7539717310825206,5698201,0.7497115492002223,4767842,0.747684123738853,4713366,0.7470212414244546,5891992,0.7460599392441767,5529915,0.7444442263082199
4418068,5512684,0.8928551910918058,5994547,0.8848308489258719,5792870,0.8665927198161706,5466810,0.865682678594328,5554755,0.8649199770268334,5811421,0.8450615614906001,5420349,0.8408164303723141,5998443,0.8378974555928168,5843940,0.8374997463439634,5998401,0.8357208175615335
3864154,4916113,0.6382533384901732,5334562,0.6381633492827518,4851375,0.6380507559604882,5187130,0.6379400269574123,5268339,0.6368803138078797,5298339,0.6360233094156734,5420085,0.633588441875728,5633213,0.633434450008527,5856025,0.632032234866065,5654246,0.6315371980576853
4773182,5484562,0.9442111572459291,5407343,0.9441073972205906,5985187,0.9145470030064424,5228934,0.8779894518817257,5501039,0.8749977850976461,5944646,0.8748239527516183,5795281,0.8747166609846979,5481850,0.860462096218179,5636502,0.842214298263897,5740656,0.8420333036890839
4323071,5382234,0.8628082813708974,5002532,0.8470006586631368,5451233,0.8413596235682143,5769868,0.8413344012278098,5501227,0.8411383697182677,5685312,0.8409880779349369,5921958,0.8375032178277098,5961765,0.8374670730968474,5571087,0.837332395043781,5108525,0.8368676740980104
4315318,4387428,0.9260489583313904,5748799,0.8154744199220149,4816676,0.8104921412013019,4747052,0.8081486445928372,4496973,0.8009865103125138,5091970,0.7958527686145785,4870694,0.7946759216936046,4816677,0.7929535728724021,5991457,0.7923761951890357,5051587,0.7913737202524358
4230463,4806189,0.8477270347097607,4486202,0.8431677155574393,4826599,0.8408835615308551,4701186,0.8402363617903148,4654055,0.8360764546778523,4990165,0.833597879394303,4881954,0.8334164102439146,4767422,0.8283060522267113,4575385,0.8282435223129786,4880441,0.8255781654789968
4940916,5717285,0.8208534023788916,5611719,0.813987098227233,5627427,0.8097707237393391,5199917,0.8085510789260688,5593562,0.8068836249548761,5836799,0.8066129678373573,5528102,0.8041479087581807,5643033,0.8034061108027077,5577943,0.8019151169964998,5830527,0.8017948500668275
4580568,5041126,0.8044185422268301,5314444,0.8044002260412605,4800882,0.8041562290489643,5292331,0.8016612139787922,5527354,0.8014748552186998,5800509,0.8012359878618174,5443498,0.8011563446452667,5649952,0.7993264320942643,5569295,0.799252582384542,5916234,0.7990123327719689
4608577,4853716,0.426381088498121,5751310,0.4228954663838653,4740801,0.42024058437550604,4652893,0.4105109720681363,5988785,0.40637460471765263,4870432,0.4057044676141747,5900891,0.40192952786340386,5903287,0.399590488788813,4725860,0.398000361330115,5646655,0.39545036107517634
4333267,5829194,0.8012917877718218,5966869,0.8010889899624485,5628146,0.8003684999476008,5689915,0.800031433228652,5493809,0.7997671922697778,5899047,0.7997538056894038,5572849,0.7993858345466626,5575133,0.7991766902841126,5623809,0.7965409835062698,5722200,0.795178043244654
4133814,4380635,0.7482362143660445,4358593,0.7369502453984562,4418068,0.7224070981715309,5994547,0.7187916370133104,5908859,0.7142335412126477,5512684,0.7121071587894683,5843940,0.6981936985996557,5750688,0.6947191163497628,5631369,0.6944178878826334,5952350,0.6930678342039731
4228496,5276823,0.8957242524894196,5193175,0.8925912296625863,5890003,0.8925619834474006,5388242,0.8924271548062973,5758113,0.8923358223636455,4884195,0.8882774290662021,4814979,0.8852419129313958,4543630,0.8850973098768463,4516199,0.8845442806756484,4527237,0.8841319499233952
5226126,5933618,0.7226937018776786,5881278,0.7216863821527335,5860104,0.7215693047238007,5854921,0.7209094334352778,5822559,0.7208795606234408,5987561,0.7207068481037032,5864707,0.7203686869060971,5651125,0.7203362655482208,5752069,0.7201813420478247,5826071,0.7201782834904463
4758745,5367208,0.977297275113429,5365165,0.8301883089063389,5341092,0.8281953579269776,5309091,0.8280706859882179,5083083,0.8275163183134897,5432441,0.8257688255019244,5781032,0.8030620942332529,5808479,0.8022272737755828,5614844,0.801924976959028,5887002,0.7987891885772528
3508372,5651232,0.6646150607915036,5557882,0.663860890814711,5661950,0.663859934081108,5584162,0.6638423928679816,5740655,0.6625616019330122,5974766,0.6580525172019203,5706629,0.6577002334570258,5592803,0.6558860252047151,5615534,0.6510585615158919,5497881,0.6505379091693709
4575330,4996010,0.9686256380010363,5076974,0.9566970913239913,5164128,0.9566361553037128,4999143,0.9512135663417176,5015424,0.9327598008645434,5104592,0.885911723532072,5772947,0.8858820657364642,5273691,0.8855688565086801,5058988,0.8791945793808768,5267013,0.8785106340644045
3022605,5615534,0.7108539767188512,5402601,0.7064709856911433,5111638,0.705653158048601,5388386,0.7053109759550312,5245814,0.7051363484559343,5560181,0.7050058743657,5976647,0.703335612922664,5615774,0.7032182479726914,5634558,0.7031902246112146,5546699,0.7031503262805968
4310440,4898660,0.9493337325793036,4473663,0.86309635990925,4801364,0.8517863451511274,4440871,0.8495401425513955,4938937,0.8331093578116,4567029,0.8116706117581293,4744885,0.7941384382065578,4554143,0.793311154334279,4851204,0.7876651490885322,6001328,0.7843988240184872
4445892,5919163,0.8145850302977822,5817046,0.8131374419823509,4646737,0.8072195308745809,5188632,0.8047766053636112,5304132,0.8020771351800465,4573966,0.7992010985035886,5207672,0.7992002202383088,4958634,0.7972965905726966,5071406,0.7972828768825261,5190538,0.7969938781559583
4423725,5765559,0.8010126264477083,5033466,0.7699058966110673,4976261,0.7610102372216131,5040531,0.736611406235338,4834087,0.7346307362366071,4953548,0.7283089628824452,5817046,0.7175651897997686,5919163,0.7126053593726906,4538606,0.7093959184079509,5558642,0.6923538512219414
5008853,5388196,0.9141463172145327,5583993,0.7036898439653909,5617565,0.6632960361185141,5797001,0.6632688267599328,5857181,0.6632506682964006,5799325,0.6598219135871645,5950214,0.6591177340014734,5623679,0.6590410188193285,5428729,0.6551187699999427,5367621,0.6521108307417045
4757267,5596627,0.8322609367802934,5048075,0.8268681955860211,5898762,0.8266241150373372,5684863,0.8265105870269341,5815551,0.8263761100048984,5799071,0.8232875165622487,5852809,0.8225644409695789,5247571,0.815372093467686,5109405,0.8135792397354213,5029196,0.8134487451564104
3354129,5171831,0.752609401690387,5115093,0.7462579105931967,4089847,0.7404435386358137,4039518,0.7327046694835132,5175243,0.7285896147825267,4868275,0.7279881686614645,4877862,0.7196777796600405,4071509,0.715427978381268,5179194,0.7086873937843413,5023315,0.7084389616355252
4054697,5615534,0.7200325730963558,5245814,0.7186540086220503,5388386,0.7184214688185041,5560181,0.7184065765873866,5111638,0.7180968855556152,5008139,0.7085996906471661,5689939,0.6880792284265203,5141790,0.6880526404467433,5611192,0.6880156544982834,5890592,0.6877198924058929
4886062,5133732,0.9290271304702811,5653727,0.9234339204127048,5782903,0.7673911005466725,5613981,0.7557044394978715,5484449,0.7475254236281225,5913896,0.7447370976024604,5772668,0.7406886247572296,5879382,0.7396949206929799,5891190,0.7382714839998068,5217483,0.736300435950582
5247347,5410343,0.9411375866219647,5790176,0.8535004750339159,5613191,0.8458319430773126,5630204,0.8450853299408025,5793413,0.8448408000386206,5818511,0.8435404181373118,5608447,0.8430122426478095,5528281,0.840711604253414,5802283,0.8404197253027266,5625404,0.8399970428494818
4265990,4504564,0.9347434949817167,4806443,0.8820438568459543,5028687,0.8815540573822646,4935487,0.8796665440488928,4806444,0.87925346365852,5283143,0.876238194096153,4988595,0.8728028421870204,5149609,0.8727428676217462,5030532,0.8716789736784021,5028502,0.8710828176622779
4061724,4148713,0.8299732229479804,4416766,0.8189779677122144,4309275,0.8183344832337736,4394362,0.8161324974088939,4452907,0.8125257670760576,4289607,0.8049417629520768,4401555,0.8036760781622757,4309276,0.8022795131505258,4732747,0.8010556477162578,4357233,0.8006182159300259
4327725,4627971,0.9458128690420831,5053032,0.9403446641797466,5021053,0.9402340831864757,5776493,0.9385329098794165,4624847,0.9382418367243656,5869096,0.9381955572070947,4765989,0.9378516502086547,5082668,0.9336231426735706,4783337,0.9313971439370586,5248310,0.9307710468743278
4706121,5727060,0.8936275551913342,5808608,0.8931667479263631,5532754,0.892696804708825,5479266,0.8716349613739747,5949954,0.8715741165034343,5479268,0.8713818815519653,5809204,0.8710104778368725,5781246,0.8581839873997293,5822123,0.8555208667782143,5307173,0.8377811096113614
4237224,5422275,0.8738542433974498,5221619,0.8560841350016763,4356270,0.8556026352325453,5583013,0.855356910662932,4431739,0.8549946943865706,4704362,0.8548652386644175,4366246,0.854659950067021,4563424,0.8545516604430142,5420020,0.8545382641387588,4425437,0.8540573987536249
4512338,5222971,0.8133993009048054,5147370,0.8104270332711407,5122154,0.8086421796911023,5851206,0.8074297353149561,5919187,0.8072707504631391,5622188,0.803819197194711,5934284,0.8037253812486483,5904146,0.8036632955121402,5865844,0.8036450709199877,5662701,0.8036388588671483
3868956,5989242,0.6068943304134818,4655771,0.5842241313112391,5716410,0.5800539831383643,4512338,0.5709885281264263,5222971,0.5684150494575285,5344425,0.5655443165952772,5649952,0.5641378587972816,5916234,0.5640771007932804,5569295,0.5639642289968201,5147370,0.5639198455953832
4190757,4703148,0.8787100435300871,5053594,0.8768938270038162,4878765,0.8748911277771144,4713510,0.8741842961419614,4777053,0.873200429963036,4735513,0.8656830164335632,5500235,0.8523373515932844,5270502,0.8505623810253865,4742203,0.8505462967420669,4555605,0.8504880844257096
5181162,5524190,0.7162655383635482,5621434,0.7122920973034652,5434965,0.7102493777861768,5787448,0.7092516727595721,5475805,0.7072742374678668,5471675,0.7069472266647312,5551055,0.7064979981219833,5459865,0.7064651470037874,5519862,0.7062524686202056,5517606,0.7061698439637776
4545390,5031636,0.8971889707759507,4922923,0.8967720483367786,4719924,0.8838618519674476,4762129,0.8772987319642143,5232445,0.8767328979908103,5465733,0.8754956408108928,5201754,0.8751891632847192,4800890,0.8603752892170086,5365943,0.8568302235235057,5060660,0.8564114349470031
3341394,3929542,0.8402303001670656,5707735,0.8316951793208738,3991250,0.8169236229779401,5667562,0.8166636251340046,3949128,0.8134115242510708,5709735,0.811951842940027,5695377,0.8089622537473162,5244723,0.8062426253389466,5810954,0.8040495777967507,5817584,0.8017115014870418
4216620,5615534,0.7476147860188513,5111638,0.7400195954054684,5560181,0.7399788126481535,5388386,0.7398261262943872,5245814,0.7396777875773507,5752360,0.7345197010012245,5402601,0.7298455383753325,5085003,0.7265389597759039,5720151,0.7198043595247149,5976647,0.7194900545053831
2170147,5615534,0.5316463325161812,5560181,0.5298278852037897,5388386,0.529492885447778,5369934,0.5294657351082364,5111638,0.5293655978490063,5245814,0.5293243228150871,5557882,0.5246015791761022,5584162,0.5245498317261393,5661950,0.5244893951444037,5651232,0.523516189223374
4807115,5835745,0.7404212711403868,5619662,0.7397427252765513,5442760,0.7391720105436126,5983335,0.7376717421317776,5630157,0.7371497243571437,5881308,0.7367204912048511,5651125,0.7316454192017284,5903740,0.7287742394558249,5903741,0.7243712526389581,5878244,0.7243415502863703
4858105,5812809,0.894316439888786,5461715,0.8941353983420328,5615349,0.8941338072409765,5745723,0.8940956606515149,5381531,0.892690215787576,4942525,0.8910066491690191,5671382,0.8908247740348006,5922068,0.8906193456785847,5313644,0.8843066181705015,5613143,0.865558291851246
