,patent
932,5776599
933,5955503
934,5156918
935,5576596
936,5466465
937,5506771
938,5403778
939,3865110
940,5696000
941,5255678
942,5369771
943,4921464
944,4912011
945,5525330
946,5963233
947,5805155
948,5497222
949,5653775
950,4394737
951,5306261
952,5962094
953,5132381
954,5246017
955,5921963
956,4425456
957,5766710
958,5786032
959,5061803
960,5326793
961,4485489
962,4858133
963,4734185
964,5740340
965,5873043
966,5659763
967,5409008
968,4826732
969,4638368
970,5709694
971,5921993
972,6001202
973,4716418
974,5244970
975,5860963
976,4990339
977,5666364
978,5929906
979,5206344
980,5755663
981,5459830
982,5110675
983,5459117
984,5193110
985,5748516
986,5159548
987,5770565
988,5997898
989,5661950
990,5374965
991,5595045
992,5090959
993,5096530
994,5990502
995,5793086
996,5764638
997,5076962
998,5337410
999,5484992
1000,5390232
1001,4234700
1002,5907596
1003,5563287
1004,4199811
1005,4059566
1006,4292302
1007,5807915
1008,5062034
1009,5368129
1010,5868575
1011,5543448
1012,5409908
1013,4174297
1014,5683451
1015,5472132
1016,4863784
1017,5633139
1018,5036119
1019,4822731
1020,4566467
1021,5404841
1022,5439554
1023,4955082
1024,5759038
1025,5630757
1026,5661751
1027,5600358
1028,4038213
1029,4483741
1030,5878036
1031,5659344
1032,5248772
1033,5380465
1034,5916178
1035,5113180
1036,5832273
1037,5679414
1038,5339142
1039,5623685
1040,5509557
1041,4736423
1042,4996010
1043,5217495
1044,4692776
1045,5902231
1046,5638101
1047,5919330
1048,5455184
1049,5403301
1050,4971067
1051,5387208
1052,4798741
1053,5681757
1054,5903765
1055,5413253
1056,4748460
1057,5682826
1058,4704696
1059,5214512
1060,4015049
1061,5649978
1062,4801014
1063,5759917
1064,4826956
1065,5917755
1066,5745696
1067,5193176
1068,5634929
1069,5196496
1070,5428791
1071,4909252
1072,5487785
1073,4946932
1074,5314430
1075,4240416
1076,5664988
1077,5935127
1078,5276215
1079,5652607
1080,5665548
1081,5820626
1082,5586026
1083,4745545
1084,5481624
1085,5267996
1086,4831894
1087,5047643
1088,4632527
1089,5764980
1090,5206045
1091,5302584
1092,5498478
1093,4834063
1094,5262153
1095,5538513
1096,4914428
1097,5508257
1098,5970654
1099,5504112
1100,5484005
1101,5994511
1102,5995888
1103,5707707
1104,5526277
1105,5975673
1106,4348220
